AtomicNumber	IonCharge	ModelIndex	LevelNumber	type	FullConfig	ElectronConfig	Term	2S	L	P	LevelWeight	ExcitationWaven	commentid
12	0	1	1	1	3s2-1S	3s2	1S	0	0	NULL	1	0	1
12	0	1	2	1	3s.3p-3P*	3s.3p	3P*	0	1	NULL	9	21850.405	1
12	0	1	3	1	3s.3p-1P*	3s.3p	1P*	0	1	NULL	3	35051.264	1
12	0	1	4	1	3s.4s-3S	3s.4s	3S	0	0	NULL	3	41197.403	1
12	0	1	5	1	3s.4s-1S	3s.4s	1S	0	0	NULL	1	43503.333	1
12	0	1	6	1	3s.3d-1D	3s.3d	1D	0	2	NULL	5	46403.065	1
12	0	1	7	1	3s.4p-3P*	3s.4p	3P*	0	1	NULL	9	47841.119	1
12	0	1	8	1	3s.3d-3D	3s.3d	3D	0	2	NULL	15	47957.027	1
12	0	1	9	1	3s.4p-1P*	3s.4p	1P*	0	1	NULL	3	49346.729	1
12	0	1	10	1	3s.5s-3S	3s.5s	3S	0	0	NULL	3	51872.526	1
12	0	1	11	1	3s.5s-1S	3s.5s	1S	0	0	NULL	1	52556.206	1
12	0	1	12	1	3s.4d-1D	3s.4d	1D	0	2	NULL	5	53134.642	1
12	0	1	13	1	3s.4d-3D	3s.4d	3D	0	2	NULL	15	54192.256	1
12	0	1	14	1	3s.5p-3P*	3s.5p	3P*	0	1	NULL	9	54248.809	1
12	0	1	15	1	3s.4f-1F*	3s.4f	1F*	0	3	NULL	7	54676.438	1
12	0	1	16	1	3s.4f-3F*	3s.4f	3F*	0	3	NULL	21	54676.654	1
12	0	1	17	1	3s.5p-1P*	3s.5p	1P*	0	1	NULL	3	54706.536	1
12	0	1	18	1	3s.6s-3S	3s.6s	3S	0	0	NULL	3	55891.8	1
12	0	1	19	1	3s.6s-1S	3s.6s	1S	0	0	NULL	1	56186.873	1
12	0	1	20	1	3s.5d-1D	3s.5d	1D	0	3	NULL	5	56308.381	1
12	0	1	21	1	3s.5d-3D	3s.5d	3D	0	3	NULL	15	56968.218	1
12	0	1	22	1	3s.6p-3P*	3s.6p	3P*	0	1	NULL	9	57017.078	1
12	0	1	23	1	3s.5f-1F*	3s.5f	1F*	0	4	NULL	7	57204.163	1
12	0	1	24	1	3s.5f-3F*	3s.5f	3F*	0	4	NULL	21	57204.228	1
12	0	1	25	1	3s.6p-1P*	3s.6p	1P*	0	1	NULL	3	57214.992	1
12	0	1	26	0	3s.5g-1G,3G	3s.5g	1G,3G	0	5	NULL	9	57262.76	1
