AtomicNumber	IonCharge	ModelIndex	LevelNumber	SublevelNumber	2J	StatisticalWeight	ExcitationWaven	commentid
12	0	1	1	1	0	1	0	1
12	0	1	2	1	0	1	21850.405	1
12	0	1	2	2	2	3	21870.464	1
12	0	1	2	3	4	5	21911.178	1
12	0	1	3	1	2	3	35051.264	1
12	0	1	4	1	2	3	41197.403	1
12	0	1	5	1	0	1	43503.333	1
12	0	1	6	1	4	5	46403.065	1
12	0	1	7	1	0	1	47841.119	1
12	0	1	7	2	2	3	47844.414	1
12	0	1	7	3	4	5	47851.162	1
12	0	1	8	1	4	5	47957.027	1
12	0	1	8	2	6	7	47957.045	1
12	0	1	8	3	2	3	47957.058	1
12	0	1	9	1	2	3	49346.729	1
12	0	1	10	1	2	3	51872.526	1
12	0	1	11	1	0	1	52556.206	1
12	0	1	12	1	4	5	53134.642	1
12	0	1	13	1	6	7	54192.256	1
12	0	1	13	2	4	5	54192.294	1
12	0	1	13	3	2	3	54192.335	1
12	0	1	14	1	0	1	54248.809	1
12	0	1	14	2	2	3	54250.086	1
12	0	1	14	3	4	5	54252.726	1
12	0	1	15	1	6	7	54676.438	1
12	0	1	16	1	4	5	54676.654	1
12	0	1	16	2	6	7	54676.701	1
12	0	1	16	3	8	9	54676.755	1
12	0	1	17	1	2	3	54706.536	1
12	0	1	18	1	2	3	55891.8	1
12	0	1	19	1	0	1	56186.873	1
12	0	1	20	1	4	5	56308.381	1
12	0	1	21	1	6	7	56968.218	1
12	0	1	21	2	4	5	56968.248	1
12	0	1	21	3	2	3	56968.271	1
12	0	1	22	1	0	1	57017.078	1
12	0	1	22	2	2	3	57017.724	1
12	0	1	22	3	4	5	57019.025	1
12	0	1	23	1	6	7	57204.163	1
12	0	1	24	1	4	5	57204.228	1
12	0	1	24	2	6	7	57204.267	1
12	0	1	24	3	8	9	57204.305	1
12	0	1	25	1	2	3	57214.992	1
12	0	1	26	1	8	9	57262.76	1
