AtomicNumber	IonCharge	ModelIndex	LineNumber	type	LowerLevel	LowerSublevel	UpperLevel	UpperSublevel	Wavelength	gf	A	RadDamping	StarkCoefficient	VanderWaalsCoefficient	EWavenLower	EWavenUpper	gLower	gUpper	2Jlower	2JUpper	broad	prd	nlteparm	commentid
12	0	1	133	1	1	1	25	1	1747.7937	0.007762474	5649687	5.790927E+07	2.394999E-06	6.705452E-09	0	57214.9921875	1	3	0	2	0	0	1	0
12	0	1	134	1	1	1	17	1	1827.9351	0.05495409	3.656647E+07	3241822	7.842464E-07	4.676865E-09	0	54706.53515625	1	3	0	2	0	0	1	0
12	0	1	135	1	1	1	9	1	2026.4768	0.1552387	8.4E+07	4.310475E+07	1.882652E-07	2.929586E-09	0	49346.73046875	1	3	0	2	1	0	1	0
12	0	1	186	1	2	1	21	3	2847.5534	0.0547016	1.5E+07	2.180438E+07	2.093125E-06	6.399878E-09	21850.404296875	56968.26953125	1	3	0	2	0	0	1	0
12	0	1	187	1	2	2	21	3	2849.181	0.04017908	1.1E+07	2.180435E+07	2.093099E-06	6.399853E-09	21870.46484375	56968.26953125	3	3	2	2	0	0	1	0
12	0	1	188	1	2	2	21	2	2849.1827	0.1276439	2.1E+07	2.180435E+07	2.093099E-06	6.399853E-09	21870.46484375	56968.24609375	3	5	2	4	0	0	1	0
12	0	1	189	1	2	3	21	3	2852.49	0.002779713	760000	4.081216E+07	1.82301E-07	6.336123E-09	21911.177734375	56968.26953125	5	3	4	2	0	0	1	0
12	0	1	190	1	2	3	21	2	2852.492	0.04149541	6800000	4.081216E+07	1.82301E-07	6.336123E-09	21911.177734375	56968.24609375	5	5	4	4	0	0	1	0
12	0	1	191	1	2	3	21	1	2852.4941	0.2306747	2.7E+07	4.081216E+07	1.82301E-07	6.336123E-09	21911.177734375	56968.21875	5	7	4	6	0	0	1	0
12	0	1	192	1	1	1	3	1	2852.9642	1.81134	4.95E+08	4.081216E+07	7.957728E-08	1.595342E-09	0	35051.265625	1	3	0	2	1	0	1	0
12	0	1	193	1	2	2	20	1	2903.7761	1.905461E-05	3014.6	2.099214E+07	1.507402E-06	5.751886E-09	21870.46484375	56308.3828125	3	5	2	4	0	0	1	0
12	0	1	194	1	2	3	20	1	2907.2131	1.905461E-05	3007.477	2.094253E+07	1.507402E-06	5.751798E-09	21911.177734375	56308.3828125	5	5	4	4	0	0	1	0
12	0	1	196	1	2	1	18	1	2937.6	0.006591739	1700000	2.051149E+07	1.250265E-06	5.411307E-09	21850.404296875	55891.80078125	1	3	0	2	0	0	1	0
12	0	1	197	1	2	2	18	1	2939.332	0.02018366	5200000	2.048732E+07	1.250265E-06	5.41126E-09	21870.46484375	55891.80078125	3	3	2	2	0	0	1	0
12	0	1	198	1	2	3	18	1	2942.854	0.03349654	8600000	2.043831E+07	1.250265E-06	5.411165E-09	21911.177734375	55891.80078125	5	3	4	2	0	0	1	0
12	0	1	199	1	2	1	13	3	3091.9614	0.134586	3.13E+07	1.851453E+07	6.563146E-07	4.377211E-09	21850.404296875	54192.3359375	1	3	0	2	0	0	1	0
12	0	1	200	1	2	2	13	3	3093.88	0.1002305	2.33E+07	1.849152E+07	6.563051E-07	4.377125E-09	21870.46484375	54192.3359375	3	3	2	2	0	0	1	0
12	0	1	201	1	2	2	13	2	3093.8842	0.3013006	4.2E+07	1.849152E+07	6.563051E-07	4.377125E-09	21870.46484375	54192.29296875	3	5	2	4	0	0	1	0
12	0	1	202	1	2	3	13	3	3097.782	0.006902398	1600000	1.844492E+07	6.562975E-07	4.376977E-09	21911.177734375	54192.3359375	5	3	4	2	0	0	1	0
12	0	1	203	1	2	3	13	2	3097.786	0.1	1.39E+07	1.844492E+07	6.562975E-07	4.376977E-09	21911.177734375	54192.29296875	5	5	4	4	0	0	1	0
12	0	1	204	1	2	3	13	1	3097.79	0.5636377	5.6E+07	1.844492E+07	6.562975E-07	4.376977E-09	21911.177734375	54192.2578125	5	7	4	6	0	0	1	0
12	0	1	205	1	2	2	12	1	3198.5488	1.202264E-05	1567.652	1.730109E+07	4.715098E-07	3.920088E-09	21870.46484375	53134.640625	3	5	2	4	0	0	1	0
12	0	1	206	1	2	3	12	1	3202.7196	9.999993E-06	1300.522	1.725607E+07	4.715098E-07	3.919934E-09	21911.177734375	53134.640625	5	5	4	4	0	0	1	0
12	0	1	207	1	2	1	10	1	3330.8773	0.01648162	3300000	1.595369E+07	3.340234E-07	3.489137E-09	21850.404296875	51872.52734375	1	3	0	2	0	0	1	0
12	0	1	208	1	2	2	10	1	3333.1042	0.04841724	9700000	1.593238E+07	3.340234E-07	3.489047E-09	21870.46484375	51872.52734375	3	3	2	2	0	0	1	0
12	0	1	209	1	2	3	10	1	3337.6335	0.08016781	1.6E+07	1.588916E+07	3.340234E-07	3.488862E-09	21911.177734375	51872.52734375	5	3	4	2	0	0	1	0
12	0	1	218	1	2	1	8	3	3830.4412	0.620869	9.4E+07	1.206361E+07	2.19174E-06	2.599161E-09	21850.404296875	47957.05859375	1	3	0	2	0	0	1	0
12	0	1	220	1	2	2	8	3	3833.3866	0.4645153	7.03E+07	1.204505E+07	2.19174E-06	2.599015E-09	21870.46484375	47957.05859375	3	3	2	2	0	0	1	0
12	0	1	221	1	2	2	8	1	3833.3912	1.399587	1.27E+08	1.204505E+07	2.19174E-06	2.599015E-09	21870.46484375	47957.02734375	3	5	2	4	0	0	1	0
12	0	1	222	1	2	3	8	3	3839.379	0.0311889	4700000	1.200748E+07	2.19174E-06	2.598728E-09	21911.177734375	47957.05859375	5	3	4	2	0	0	1	0
12	0	1	223	1	2	3	8	2	3839.3807	2.60016	1.68E+08	1.200748E+07	2.19174E-06	2.598728E-09	21911.177734375	47957.046875	5	7	4	6	0	0	1	0
12	0	1	224	1	2	3	8	1	3839.3834	0.4645153	4.2E+07	1.200748E+07	2.19174E-06	2.598728E-09	21911.177734375	47957.02734375	5	5	4	4	0	0	1	0
12	0	1	226	1	2	2	7	2	3850.0113	1.199499E-07	18	1.192208E+07	0.0002766067	3.070766E-08	21870.46484375	47844.4140625	3	3	2	2	0	0	1	0
12	0	1	227	1	2	3	7	3	3855.0525	2.786121E-07	25	1.192208E+07	0.0002766067	3.070766E-08	21911.177734375	47851.16015625	5	5	4	4	0	0	1	0
12	0	1	228	1	2	3	7	2	3856.0556	3.548134E-07	53	1.187984E+07	0.0002340946	2.910988E-08	21911.177734375	47844.4140625	5	3	4	2	0	0	1	0
12	0	1	242	1	2	2	6	1	4076.209	8.912501E-06	715.5543	1.065273E+07	1.102105E-07	2.354065E-09	21870.46484375	46403.06640625	3	5	2	4	0	0	1	0
12	0	1	243	1	2	3	6	1	4082.985	3.311309E-06	264.972	1.06174E+07	1.102105E-07	2.353732E-09	21911.177734375	46403.06640625	5	5	4	4	0	0	1	0
12	0	1	250	1	1	1	2	2	4572.3767	4.045759E-06	430	17.40961	1.004505E-08	1.595342E-09	0	21870.46484375	1	3	0	2	0	0	1	0
12	0	1	252	1	2	2	5	1	4622.595	9.999993E-06	3121.432	8283237	7.135522E-08	1.988228E-09	21870.46484375	43503.33203125	3	1	2	0	0	0	1	0
12	0	1	253	1	3	1	20	1	4704.3068	0.4226686	2.55E+07	4.176278E+07	8.332766E-06	5.698963E-09	35051.265625	56308.3828125	3	5	2	4	0	0	1	0
12	0	1	254	1	3	1	19	1	4731.3517	0.002999162	893624.9	4.081216E+07	1.425286E-06	5.593377E-09	35051.265625	56186.87109375	3	1	2	0	0	0	1	0
12	0	1	255	1	2	1	4	1	5168.7605	0.1393157	1.16E+07	7776594	1.59E-07	4E-09	21850.404296875	41197.40234375	1	3	0	2	0	0	1	0
12	0	1	256	1	2	2	4	1	5174.1251	0.4168694	3.46E+07	7776594	1.59E-07	4E-09	21870.46484375	41197.40234375	3	3	2	2	0	0	1	0
12	0	1	257	1	2	3	4	1	5185.0479	0.6950243	5.75E+07	7776594	1.59E-07	4E-09	21911.177734375	41197.40234375	5	3	4	2	0	0	1	0
12	0	1	260	1	3	1	12	1	5529.9403	0.4560369	1.99E+07	4.176278E+07	2.759238E-06	3.82495E-09	35051.265625	53134.640625	3	5	2	4	0	0	1	0
12	0	1	261	1	3	1	11	1	5712.6725	0.01468927	3002253	4.081216E+07	4.002262E-07	3.606068E-09	35051.265625	52556.20703125	3	1	2	0	0	0	1	0
12	0	1	264	1	4	1	22	3	6320.464	0.003715351	124067.4	4429593	2.148437E-06	6.353637E-09	41197.40234375	57019.0234375	3	5	2	4	0	0	1	0
12	0	1	265	1	4	1	22	2	6320.984	0.003715351	206745	4429593	2.148437E-06	6.353637E-09	41197.40234375	57017.72265625	3	3	2	2	0	0	1	0
12	0	1	266	1	4	1	22	1	6321.242	0.003715351	620184.4	4429593	2.148437E-06	6.353637E-09	41197.40234375	57017.078125	3	1	2	0	0	0	1	0
12	0	1	272	1	5	1	25	1	7293.064	0.007413099	309873.4	3327728	2.394999E-06	6.554798E-09	43503.33203125	57214.9921875	1	3	0	2	0	0	1	0
12	0	1	278	1	4	1	14	3	7659.711	0.06516284	1480000	3014965	6.688699E-07	4.222717E-09	41197.40234375	54252.7265625	3	5	2	4	0	0	1	0
12	0	1	279	1	4	1	14	2	7661.26	0.03908409	1480000	3014965	6.688699E-07	4.222717E-09	41197.40234375	54250.0859375	3	3	2	2	0	0	1	0
12	0	1	280	1	4	1	14	1	7662.01	0.01303167	1480000	3012334	0.0001843401	2.694006E-08	41197.40234375	54248.80859375	3	1	2	0	0	0	1	0
12	0	1	286	1	3	1	8	1	7748.476	0.007244359	160961.9	2948050	1.441336E-07	2.416474E-09	35051.265625	47957.02734375	3	5	2	4	0	0	1	0
12	0	1	324	1	3	1	6	1	8809.175	0.8147043	1.4E+07	3.897526E+07	1.102105E-07	1.958049E-09	35051.265625	46403.06640625	3	5	2	4	0	0	1	0
12	0	1	326	1	5	1	17	1	8926.019	0.03944573	1100000	4906695	7.842464E-07	4.411372E-09	43503.33203125	54706.53515625	1	3	0	2	0	0	1	0
12	0	1	331	1	6	1	25	1	9249.045	0.02511887	652846.1	1587777	2.394999E-06	6.484429E-09	46403.06640625	57214.9921875	5	3	4	2	0	0	1	0
12	0	1	332	1	6	1	23	1	9258.318	0.7998343	8900000	2063160	3.479497E-05	1.572369E-08	46403.06640625	57204.1640625	5	7	4	6	0	0	1	0
12	0	1	352	1	8	2	24	3	10814.014	0.712853	4520000	359690.2	0	0	47957.046875	57204.3046875	7	9	6	8	0	0	1	0
12	0	1	353	1	8	1	24	2	10814.037	0.4931738	4020000	319901.4	0	0	47957.02734375	57204.265625	5	7	4	6	0	0	1	0
12	0	1	354	1	8	2	24	2	10814.059	0.06180164	504000	40107.05	0	0	47957.046875	57204.265625	7	7	6	6	0	0	1	0
12	0	1	355	1	8	1	24	1	10814.083	0.06180164	705000	56102.12	0	0	47957.02734375	57204.2265625	5	5	4	4	0	0	1	0
12	0	1	356	1	8	2	24	1	10814.104	0.001745822	19900	1583.592	0	0	47957.046875	57204.2265625	7	5	6	4	0	0	1	0
